,pl,be,uk,ru,bg,sl,cs,en
3502,Roderick Murchison,Родэрык Імпі Мурчысан,Родерік Імпі Мерчісон,Родерик Мэрчисон,Родерик Мърчисън,Roderick Murchison,Roderick Murchison,Roderick Murchison
3503,Wiktor II,Віктар II,Віктор II,Виктор II,Виктор II ,Papež Viktor II,Viktor II,Pope Victor II
3504,Leon IX,Леў IX,Лев IX ,Лев IX,Лъв IX,Papež Leon IX,Lev IX,Pope Leo IX
3505,Karl von Frisch,Карл фон Фрыш,Карл Фріш,Карл Фриш,Карл фон Фриш,Karl von Frisch,Karl von Frisch,Karl von Frisch
3506,Patrice Lumumba,Патрыс Лумумба,Патріс Лумумба,Патрис Лумумба,Патрис Лумумба,Patrice Lumumba,Patrice Lumumba,Patrice Lumumba
3507,Iwan Szyszkin,Іван Іванавіч Шышкін,Іван Шишкін,Иван Шишкин,Иван Шишкин,Ivan Šiškin,Ivan Ivanovič Šiškin,Ivan Shishkin
3508,Conchita Wurst,Канчыта Вурст,Кончита Вурст,Кончита Вурст,Кончита Вурст,Conchita Wurst,Conchita Wurst,Conchita Wurst
3509,Aram Mp3,Арам MP3,Aram Mp3,Арам MP3,Арам Mp3,Aram Mp3,Aram Mp3,Aram Mp3
3510,Tarkwiniusz Stary,Луцый Тарквіній Прыск,Луцій Тарквіній Пріск,Луций Тарквиний Приск,Тарквиний Приск,Tarkvinij Prisk,Tarquinius Priscus,Lucius Tarquinius Priscus
3511,Tarkwiniusz Pyszny,Тарквіній Горды,Луцій Тарквіній Гордий,Тарквиний Гордый,Тарквиний Горди,Lucij Tarkvinij Superb,Tarquinius Superbus,Lucius Tarquinius Superbus
3512,Leopold I Habsburg,Леапольд I Габсбург,Леопольд I Габсбург,Леопольд I ,Леополд I ,Leopold I. Habsburški,Leopold I,Leopold I
3513,Karol II Habsburg,Карл II ,Карл II Зачарований,Карл II ,Карлос II,Karel II. Španski,Karel II. Španělský,Charles II of Spain
3514,Rudolf Habsburg-Lotaryński,Рудольф ,Рудольф ,Рудольф ,Рудолф Австрийски,Rudolf Habsburško-Lotarinški ,Korunní princ Rudolf,Rudolf
3515,Ferdynand II Habsburg,Фердынанд II Габсбург,Фердинанд II Габсбург,Фердинанд II ,Фердинанд II ,Ferdinand II. Habsburški,Ferdinand II. Štýrský,Ferdinand II
3516,Przemysł Ottokar II,Пржэмысл Отакар II,Отокар II,Пржемысл Отакар II,Отокар II ,Otokar II. Přemysl,Přemysl Otakar II,Ottokar II of Bohemia
3517,Reinhard Heydrich,Райнгард Гайдрых,Райнгард Гейдріх,Рейнхард Гейдрих,Райнхард Хайдрих,Reinhard Heydrich,Reinhard Heydrich,Reinhard Heydrich
3518,Ryan Giggs,Раян Гігз,Раян Гіггз,Райан Гиггз,Райън Гигс,Ryan Giggs,Ryan Giggs,Ryan Giggs
3519,Erwin Rommel,Эрвін Ромель,Ервін Роммель,Эрвин Роммель,Ервин Ромел,Erwin Rommel,Erwin Rommel,Erwin Rommel
3520,Celestyn V,Цэлесцін V,Целестин V,Целестин V,Целестин V,Papež Celestin V,Celestýn V,Pope Celestine V
3521,Paul Pogba,Поль Пагба,Поль Погба,Поль Погба,Пол Погба,Paul Pogba,Paul Pogba,Paul Pogba
3522,Andrea Pirlo,Андрэа Пірла,Андреа Пірло,Андреа Пирло,Андреа Пирло,Andrea Pirlo,Andrea Pirlo,Andrea Pirlo
3523,Ivan Rakitić,Іван Ракіціч,Іван Ракитич,Иван Ракитич,Иван Ракитич,Ivan Rakitić,Ivan Rakitić,Ivan Rakitić
3524,Andrés Iniesta,Андрэс Іньеста,Андрес Іньєста,Андрес Иньеста,Андрес Иниеста,Andrés Iniesta,Andrés Iniesta,Andrés Iniesta
3525,Didier Drogba,Дзідзье Драгба,Дідьє Дрогба,Дидье Дрогба,Дидие Дрогба,Didier Drogba,Didier Drogba,Didier Drogba
3526,Filip VI Burbon,Філіп VI ,Філіп VI ,Филипп VI ,Фелипе VI,Filip VI. Španski,Filip VI. Španělský,Felipe VI
3527,Damazy II,Дамасій II,Дамасій II,Дамасий II,Дамас II,Papež Damaz II,Damasus II,Pope Damasus II
3528,Michał VII Dukas,Міхаіл VII Дука,Михаїл VII,Михаил VII Дука,Михаил VII Дука,Mihael VII. Dukas,Michael VII. Dukas,Michael VII Doukas
3529,Konstantyn X Dukas,Канстанцін X Дука,Костянтин X Дука,Константин X Дука,Константин X Дука,Konstantin X. Dukas,Konstantin X. Dukas,Constantine X Doukas
3530,Marian Spychalski,Марыян Спыхальскі,Мар'ян Спихальський,Мариан Спыхальский,Мариан Спихалски,Marian Spychalski,Marian Spychalski,Marian Spychalski
3531,Francis Bacon ,Фрэнсіс Бэкан ,Бекон Френсіс,Фрэнсис Бэкон,Френсис Бейкън ,Francis Bacon ,Francis Bacon ,Francis Bacon
