,pl,be,uk,ru,bg,sl,cs,en
0,Anthony Eden,Энтані Ідэн,Ентоні Іден,Энтони Иден,Антъни Идън,Anthony Eden,Anthony Eden,Anthony Eden
1,Filippo Inzaghi,Філіпа Індзагі,Філіппо Індзагі,Филиппо Индзаги,Филипо Индзаги,Filippo Inzaghi,Filippo Inzaghi,Filippo Inzaghi
2,Arthur Wellesley ,А. Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley,Arthur Wellesley
3,Abbas I Wielki,Абас I Вялікі,Аббас I Великий,Аббас I Великий,Абас I Велики,Abas I. Veliki,Abbás I. Veliký,Abbas the Great
4,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I,Pope Agapetus I
5,John Adams,Джон Адамс,Джон Адамс,Джон Адамс,Джон Адамс,John Adams,John Adams,John Adams
6,John Quincy Adams,Джон Квінсі Адамс,Квінсі Джон,Джон Адамс,Джон Куинси Адамс,John Quincy Adams,John Quincy Adams,John Quincy Adams
7,José Leandro Andrade,Хасэ Леандра Андрадэ,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade,José Leandro Andrade
8,Thierry Henry,Цьеры Анры,Тьєррі Анрі,Тьерри Анри,Тиери Анри,Thierry Henry,Thierry Henry,Thierry Henry
9,Chester Arthur,Чэстэр Алан Артур,Алан Честер,Честер Артур,Честър Артър,Chester Alan Arthur,Chester A. Arthur,Chester A. Arthur
10,Klaus Augenthaler,Клаўс Аўгенталер,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler,Klaus Augenthaler
11,Uwe Bein,Увэ Байн,Уве Байн,Уве Байн,Уве Байн,Uwe Bein,Uwe Bein,Uwe Bein
12,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Bonifacij II,Bonifác II,Pope Boniface II
13,Andrea Barzagli,Андрэа Бардзальі,Андреа Барцальї,Андреа Бардзальи,Андреа Бардзали,Andrea Barzagli,Andrea Barzagli,Andrea Barzagli
14,Bebeto,Бебету,Бебето,Бебето,Бебето,Bebeto,Bebeto,Bebeto
15,Benedykt XVI,Бенедыкт XVI,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI,Pope Benedict XVI
16,Benedykt XV,Бенедыкт XV,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV,Pope Benedict XV
17,Leonard Bernstein,Леанард Бернстайн,Леонард Бернстайн,Леонард Бернстайн,Ленард Бърнстейн,Leonard Bernstein,Leonard Bernstein,Leonard Bernstein
18,Tony Blair,Тоні Блэр,Тоні Блер,Тони Блэр,Тони Блеър,Tony Blair,Tony Blair,Tony Blair
19,Paul Breitner,Паўль Брайтнер,Пауль Брайтнер,Пауль Брайтнер,Паул Брайтнер,Paul Breitner,Paul Breitner,Paul Breitner
20,Gianluigi Buffon,Джанлуіджы Буфон,Джанлуїджі Буффон,Джанлуиджи Буффон,Джанлуиджи Буфон,Gianluigi Buffon,Gianluigi Buffon,Gianluigi Buffon
21,Guido Buchwald,Гвіда Бухвальд,Гвідо Бухвальд,Гвидо Бухвальд,Гуидо Бухвалд,Guido Buchwald,Guido Buchwald,Guido Buchwald
22,George H.W. Bush,Джордж Буш,Джордж Буш,Джордж Буш,Джордж Х. У. Буш,George H. W. Bush,George H. W. Bush,George H. W. Bush
23,Gordon Banks,Гордан Бэнкс,Гордон Бенкс,Гордон Бэнкс,Гордън Бенкс,Gordon Banks,Gordon Banks,Gordon Banks
24,James Buchanan,Джэймс Б’юкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan,James Buchanan
25,Martin Van Buren,Марцін Ван Бюрэн,Мартін ван Бюрен,Мартин Ван Бюрен,Мартин Ван Бюрън,Martin Van Buren,Martin Van Buren,Martin Van Buren
26,Carlos Bilardo,Карлас Біларда,Карлос Білардо,Карлос Билардо,Карлос Билардо,Carlos Bilardo,Carlos Bilardo,Carlos Bilardo
27,George Washington,Джордж Вашынгтон,Джордж Вашингтон,Джордж Вашингтон,Джордж Вашингтон,George Washington,George Washington,George Washington
28,Jules Verne,Жуль Верн,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne,Jules Verne
29,Wen Jiabao,Вэнь Цзябаа,Вень Цзябао,Вэнь Цзябао,Уън Дзябао,Ven Džjabao,Wen Ťia-pao,Wen Jiabao
30,Wigiliusz ,Вігілій ,Вігілій,Вигилий ,Вигилий,Papež Vigilij,Vigilius,Pope Vigilius
31,Patrick Vieira,Патрык Віейра,Патрік Вієйра,Патрик Виейра,Патрик Виейра,Patrick Vieira,Patrick Vieira,Patrick Vieira
32,Woodrow Wilson,Томас Вудра Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson
33,Ludwig Wittgenstein,Людвіг Вітгенштэйн,Людвіг Вітгенштайн,Людвиг Витгенштейн,Лудвиг Витгенщайн,Ludwig Wittgenstein,Ludwig Wittgenstein,Ludwig Wittgenstein
34,Harold II,Гаральд II Годвінсан,Гарольд II Ґодвінсон,Гарольд II Годвинсон,Харолд Годуинсън,Harold II,Harold II. Godwinson,Harold Godwinson
35,Warren Harding,Уорэн Гардзінг,Воррен Гардінг,Уоррен Гардинг,Уорън Хардинг,Warren G. Harding,Warren G. Harding,Warren G. Harding
36,James Garfield,Джэймс Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Garfield,James A. Garfield,James A. Garfield
37,Garrincha,Гарынча,Гаррінча,Гарринча,Гаринча,Garrincha,Garrincha,Garrincha
38,Benjamin Harrison,Бенджамін Гарысан,Бенджамін Гаррісон,Бенджамин Гаррисон,Бенджамин Харисън,Benjamin Harrison,Benjamin Harrison,Benjamin Harrison
39,William Henry Harrison,Уільям Генры Гарысан,Вільям Генрі Гаррісон,Уильям Гаррисон,Уилям Хенри Харисън,William Henry Harrison,William Henry Harrison,William Henry Harrison
40,Ulysses Grant,Уліс Сімсан Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant,Ulysses S. Grant
41,Herbert Hoover,Герберт Кларк Гувер,Герберт Гувер,Герберт Гувер,Хърбърт Хувър,Herbert Hoover,Herbert Hoover,Herbert Hoover
42,Alcides Ghiggia,Альсідэс Гіджа,Альсідес Гіджа,Альсидес Гиджа,Алсидес Гиджа,Alcides Ghiggia,Alcides Ghiggia,Alcides Ghiggia
43,Lyndon B. Johnson,Ліндан Бэйнс Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson
44,Andrew Johnson,Эндру Джонсан,Ендрю Джонсон,Эндрю Джонсон,Андрю Джонсън,Andrew Johnson,Andrew Johnson,Andrew Johnson
45,David Lloyd George,Дэвід Лойд Джордж,Девід Ллойд Джордж,Дэвид Ллойд Джордж,Дейвид Лойд Джордж,David Lloyd George,David Lloyd George,David Lloyd George
46,Alberto Gilardino,Альберта Джылардзіна,Альберто Джилардіно,Альберто Джилардино,Алберто Джилардино,Alberto Gilardino,Alberto Gilardino,Alberto Gilardino
47,Andrew Jackson,Эндру Джэксан,Ендрю Джексон,Эндрю Джексон,Андрю Джаксън,Andrew Jackson,Andrew Jackson,Andrew Jackson
48,Thomas Jefferson,Томас Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson,Thomas Jefferson
49,Benjamin Disraeli,Дзісраэлі,Бенджамін Дізраелі,Бенджамин Дизраэли,Бенджамин Дизраели,Benjamin Disraeli,Benjamin Disraeli,Benjamin Disraeli
50,Douglas Adams,Дуглас Адамс,Дуглас Адамс,Дуглас Адамс,Дъглас Адамс,Douglas Adams,Douglas Adams,Douglas Adams
51,Dunga,Дунга,Дунга,Дунга,Дунга,Dunga,Dunga,Dunga
52,Daniele De Rossi,Дэ Росі Даніэле,Данієле Де Россі,Даниеле Де Росси,Даниеле Де Роси,Daniele De Rossi,Daniele De Rossi,Daniele De Rossi
53,Alessandro Del Piero,Алесандра Дэль П’ера,Алессандро Дель П'єро,Алессандро Дель Пьеро,Алесандро Дел Пиеро,Alessandro Del Piero,Alessandro Del Piero,Alessandro Del Piero
54,Jorginho ,Жаржынью,Жоржиньйо ,Жоржиньо,Жоржиньо,Jorginho,Jorginho ,Jorginho
55,Jairzinho,Жайрзінью,Жаїрзінью,Жаирзиньо,Жаирзиньо,Jairzinho,Jairzinho,Jairzinho
56,Juninho Paulista,Жунінью Паўліста,Жуніньйо Пауліста,Жуниньо Паулиста,Жуниньо Паулища,Juninho Paulista,Juninho Paulista,Juninho Paulista
57,Zinédine Zidane,Зінедзін Зідан,Зінедін Зідан,Зинедин Зидан,Зинедин Зидан,Zinedine Zidane,Zinédine Zidane,Zinedine Zidane
58,Zinho,Зінью,Зіньйо,Зиньо,Зиньо,Zinho,Zinho,Zinho
59,Kaká,Кака,Кака,Кака,Кака ,Kaká,Kaká,Kaka
60,Mauro Camoranesi,Маўра Камаранезі,Мауро Каморанезі,Мауро Каморанези,Мауро Каморанези,Mauro Camoranesi,Mauro Camoranesi,Mauro Camoranesi
61,Konfucjusz,Канфуцый,Конфуцій,Конфуций,Конфуций,Konfucij,Konfucius,Confucius
62,Jimmy Carter,Джэймс Эрл Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter,Jimmy Carter
63,Héctor Castro,Эктар Кастра,Ектор Кастро,Эктор Кастро,Ектор Кастро,Héctor Castro,Héctor Castro,Héctor Castro
64,Cafu,Кафу,Кафу,Кафу,Кафу ,Cafu,Cafu,Cafú
65,John Kennedy,Джон Кенэдзі,Джон Кеннеді,Джон Кеннеди,Джон Кенеди,John Kennedy,John Kennedy,John F. Kennedy
66,Klemens III ,Клімент III ,Климент III ,Климент III ,Климент III ,Protipapež Klemen III,Klement III,Pope Clement III
67,Jürgen Klinsmann,Юрген Клінсман,Юрген Клінсманн,Юрген Клинсман,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann,Jürgen Klinsmann
68,Bill Clinton,Біл Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton,Bill Clinton
69,Grover Cleveland,Стывен Гровер Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland,Grover Cleveland
70,Jürgen Kohler,Юрген Колер,Юрген Колер,Юрген Колер,Юрген Колер,Jürgen Kohler,Jürgen Kohler,Jürgen Kohler
71,Izaak I Komnen,Ісаак I Камнін,Ісаак I Комнін,Исаак I Комнин,Исак I Комнин,Izak I. Komnen,Izák I. Komnenos,Isaac I Komnenos
72,Aleksy I Komnen,Аляксей I Камнін,Олексій I Комнін,Алексей I Комнин,Алексий I Комнин,Aleksej I. Komnen,Alexios I. Komnenos,Alexios I Komnenos
73,Anna Komnena,Ганна Камніна,Анна Комніна,Анна Комнина,Анна Комнина,Ana Komnena,Anna Komnenovna,Anna Komnene
74,Calvin Coolidge,Кальвін Кулідж,Калвін Кулідж,Калвин Кулидж,Калвин Кулидж,Calvin Coolidge,Calvin Coolidge,Calvin Coolidge
75,Wawrzyniec ,Лаўрэнцій ,Лаврентій ,Лаврентий ,Лаврентий ,Protipapež Lovrenc,Laurentius,Laurentius
76,Leonardo Nascimento de Araújo,Леанарду Араужу,Леонардо Араужо,Леонардо Араужо,Леонардо Араужо,Leonardo Araújo,Leonardo Nascimento de Araújo,Leonardo Araújo
77,Leon XIII,Леў XIII,Лев XIII,Лев XIII,Лъв XIII,Papež Leon XIII,Lev XIII,Pope Leo XIII
78,Luiz Carlos Bombonato Goulart,Луіс Карлус Бамбанату Голарт,Луїс Карлос Бомбонато Гоуларт,Луис Бомбонато Гоуларт,Луизао,Luizão,Luiz Carlos Bombonato Goulart,Luizão
79,Bixente Lizarazu,Біксант Лізаразю,Біксант Лізаразю,Биксант Лизаразю,Бишенте Лизаразу,Bixente Lizarazu,Bixente Lizarazu,Bixente Lizarazu
80,Abraham Lincoln,Аўраам Лінкальн,Авраам Лінкольн,Авраам Линкольн,Ейбрахам Линкълн,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln
81,Linus ,Лін,Лін ,Лин ,Лин ,Papež Lin,Linus,Tench
82,Linus Torvalds,Лінус Торвальдс,Лінус Торвальдс,Линус Торвальдс,Линус Торвалдс,Linus Torvalds,Linus Torvalds,Linus Torvalds
83,Pierre Littbarski,П’ер Літбарскі,П'єр Літтбарскі,Пьер Литтбарски,Пиер Литбарски,Pierre Littbarski,Pierre Littbarski,Pierre Littbarski
84,Sepp Maier,Зеп Маер,Зепп Маєр,Зепп Майер,Сеп Майер,Sepp Maier,Sepp Maier,Sepp Maier
85,William McKinley,Уільям Мак-Кінлі,Вільям Мак-Кінлі,Уильям Мак-Кинли,Уилям Маккинли,William McKinley,William McKinley,William McKinley
86,James Monroe,Джэймс Манро,Джеймс Монро,Джеймс Монро,Джеймс Монро,James Monroe,James Monroe,James Monroe
87,Diego Maradona,Дыега Арманда Марадона,Дієго Марадона,Диего Марадона,Диего Марадона,Diego Maradona,Diego Maradona,Diego Maradona
88,Evo Morales,Эва Маралес,Ево Моралес,Эво Моралес,Ево Моралес,Evo Morales,Evo Morales,Evo Morales
89,Marco Materazzi,Марка Матэрацы,Марко Матерацці,Марко Матерацци,Марко Матераци,Marco Materazzi,Marco Materazzi,Marco Materazzi
90,Lothar Matthäus,Лотар Матэус,Лотар Маттеус,Лотар Маттеус,Лотар Матеус,Lothar Matthäus,Lothar Matthäus,Lothar Matthäus
91,César Luis Menotti,Сесар Луіс Меноці,Луїс Сесар,Сесар Менотти,Сезар Луис Меноти,César Luis Menotti,César Luis Menotti,César Luis Menotti
92,James Madison,Джэймс Мэдысан,Джеймс Медісон,Джеймс Мэдисон,Джеймс Мадисън,James Madison,James Madison,James Madison
93,Müller ,Мюлер ,Мюллер ,Мюллер ,Мюлер ,Luís Antônio Corrêa da Costa,Müller ,Müller
94,Gerd Müller,Герд Мюлер,Герд Мюллер,Герд Мюллер,Герд Мюлер,Gerd Müller,Gerd Müller,Gerd Müller
95,Michał Anioł,Мікеланджэла Буанароці,Мікеланджело Буонарроті,Микеланджело,Микеланджело Буонароти,Michelangelo Buonarroti,Michelangelo Buonarroti,Michelangelo
96,Isaac Newton,Ісаак Ньютан,Ісаак Ньютон,Исаак Ньютон,Исак Нютон,Isaac Newton,Isaac Newton,Isaac Newton
97,Alessandro Nesta,Алесандра Неста,Алессандро Неста,Алессандро Неста,Алесандро Неста,Alessandro Nesta,Alessandro Nesta,Alessandro Nesta
98,Richard Nixon,Рычард Мілхаўс Ніксан,Річард Ніксон,Ричард Никсон,Ричард Никсън,Richard Nixon,Richard Nixon,Richard Nixon
99,Niels Bohr,Нільс Бор,Нільс Бор,Нильс Бор,Нилс Бор,Niels Henrik David Bohr,Niels Bohr,Niels Bohr
100,Massimo Oddo,Масіма Ода,Массімо Оддо,Массимо Оддо,Масимо Одо,Massimo Oddo,Massimo Oddo,Massimo Oddo
101,Otto von Bismarck,Ота фон Бісмарк,Отто фон Бісмарк,Отто Бисмарк,Ото фон Бисмарк,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck
102,Paweł VI,Павел VI,Павло VI,Павел VI,Павел VI,Papež Pavel VI,Pavel VI,Pope Paul VI
103,Luca Pacioli,Лука Пачолі,Лука Пачолі,Лука Пачоли,Лука Пачоли,Luca Pacioli,Luca Pacioli,Luca Pacioli
104,Pelagiusz I,Пелагій I ,Пелагій I,Пелагий I,Пелагий I,Papež Pelagij I,Pelagius I,Pope Pelagius I
105,Pelé,Пеле,Пеле,Пеле,Пеле,Pelé,Pelé,Pelé
106,James Polk,Джэймс Нокс Полк,Джеймс Полк,Джеймс Полк,Джеймс Полк,James K. Polk,James K. Polk,James K. Polk
107,Karl Popper,Карл Попер,Карл Поппер,Карл Поппер,Карл Попър,Karl Popper,Karl Popper,Karl Popper
108,Piotr Apostoł,Пётр ,Петро ,Апостол Пётр,Петър ,Sveti Peter,Petr ,Peter
109,Pius IX,Пій IX,Пій IX,Пий IX,Пий IX,Papež Pij IX,Pius IX,Pope Pius IX
110,Pius XII,Пій XII,Пій XII,Пий XII,Пий XII,Papež Pij XII,Pius XII,Pope Pius XII
111,Pius XI,Пій XI,Пій XI,Пий XI,Пий XI,Papež Pij XI,Pius XI,Pope Pius XI
112,Pius X,Пій X,Пій X,Пий X,Пий X,Papež Pij X,Pius X,Pope Pius X
113,Robert Peel,Роберт Піль,Роберт Піль,Роберт Пиль,Робърт Пийл,Robert Peel,Robert Peel,Robert Peel
114,Franklin Pierce,Франклін Пірс,Франклін Пірс,Франклин Пирс,Франклин Пиърс,Franklin Pierce,Franklin Pierce,Franklin Pierce
115,Robert Pirès,Рабер Пірэс,Робер Пірес,Робер Пирес,Робер Пирес,Robert Pirès,Robert Pirès,Robert Pires
116,Roberto Carlos ,Раберту Карлус,Роберто Карлос,Роберто Карлос,Роберто Карлош,Roberto Carlos,Roberto Carlos,Roberto Carlos
117,Pietro Rava,П’етра Рава,П'єтро Рава,Пьетро Рава,Пиетро Рава,Pietro Rava,Pietro Rava,Pietro Rava
118,Romário,Рамарыу,Ромаріу,Ромарио,Ромарио,Romário,Romário,Romário
119,Ronaldo,Раналду,Роналду,Роналдо,Роналдо,Ronaldo,Ronaldo,Ronaldo
120,Ronaldinho,Раналдынью,Роналдінью,Роналдиньо,Роналдиньо,Ronaldinho,Ronaldinho,Ronaldinho
121,Paolo Rossi,Паала Росі,Паоло Россі,Паоло Росси,Паоло Роси,Paolo Rossi,Paolo Rossi,Paolo Rossi
122,Theodore Roosevelt,Тэадор Рузвельт,Теодор Рузвельт,Теодор Рузвельт,Теодор Рузвелт,Theodore Roosevelt,Theodore Roosevelt,Theodore Roosevelt
123,Franklin Delano Roosevelt,Франклін Дэлана Рузвельт,Делано Франклін,Франклин Рузвельт,Франклин Делано Рузвелт,Franklin Delano Roosevelt,Franklin Delano Roosevelt,Franklin D. Roosevelt
124,Rivaldo,Рывалду,Рівалдо,Ривалдо,Ривалдо,Rivaldo,Rivaldo,Rivaldo
125,Grzegorz I,Грыгорый I ,Григорій I,Григорий I ,Григорий I,Papež Gregor I,Řehoř I. Veliký,Pope Gregory I
126,Grzegorz XVI,Грыгорый XVI,Григорій XVI,Григорий XVI,Григорий XVI,Papež Gregor XVI,Řehoř XVI,Pope Gregory XVI
127,Ryszard I Lwie Serce,Рычард I,Річард I Левове Серце,Ричард I Львиное Сердце,Ричард I ,Rihard I. Levjesrčni,Richard I. Lví srdce,Richard the Lionheart
128,Ronald Reagan,Рональд Уілсан Рэйган,Рональд Рейган,Рональд Рейган,Роналд Рейгън,Ronald Reagan,Ronald Reagan,Ronald Reagan
129,Héctor Scarone,Эктар Скаронэ,Ектор Скароне,Эктор Скароне,Ектор Скароне,Héctor Scarone,Héctor Scarone,Héctor Scarone
130,Edward Sapir,Эдвард Сэйпір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir,Edward Sapir
131,Sylweriusz ,Сільверый ,Сільверій,Сильверий ,Силверий,Papež Silverij,Silverius,Pope Silverius
132,Symmachus ,Сімах ,Симах,Симмах ,Симах,Papež Simah,Symmachus ,Pope Symmachus
133,John Tyler,Джон Тайлер,Джон Тайлер,Джон Тайлер,Джон Тайлър,John Tyler,John Tyler,John Tyler
134,Cláudio Taffarel,Клаўдыу Тафарэл,Клаудіо Таффарел,Клаудио Таффарел,Клаудио Тафарел,Cláudio Taffarel,Cláudio Taffarel,Cláudio Taffarel
135,William Taft,Уільям Говард Тафт,Говард Вільям,Уильям Тафт,Уилям Тафт,William Howard Taft,William Howard Taft,William Howard Taft
136,Francesco Totti,Тоці Франчэска,Франческо Тотті,Франческо Тотти,Франческо Тоти,Francesco Totti,Francesco Totti,Francesco Totti
137,Harry Truman,Гары Трумэн,Гаррі Трумен,Гарри Трумэн,Хари С. Труман,Harry S. Truman,Harry S. Truman,Harry S. Truman
138,Zachary Taylor,Закары Тэйлар,Закарі Тейлор,Закари Тейлор,Закари Тейлър,Zachary Taylor,Zachary Taylor,Zachary Taylor
139,Benjamin Lee Whorf,Бенджамін Лі Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf,Benjamin Lee Whorf
140,Feliks V,Амадэй VIII,Фелікс V ,Амадей VIII,Амадей VIII Савойски,Protipapež Feliks V,Amadeus VIII. Savojský,Amadeus VIII
141,Gerald Ford,Джэральд Рудальф Форд,Джеральд Форд,Джеральд Форд,Джералд Форд,Gerald Ford,Gerald Ford,Gerald Ford
142,Rudi Völler,Рудзі Фёлер,Руді Феллер,Руди Фёллер,Руди Фьолер,Rudi Völler,Rudi Völler,Rudi Völler
143,Millard Fillmore,Мілард Філмар,Міллард Філлмор,Миллард Филлмор,Милърд Филмор,Millard Fillmore,Millard Fillmore,Millard Fillmore
144,Ubaldo Fillol,Убальда Фільёль,Убальдо Фільйоль,Убальдо Фильоль,Убалдо Фильол,Ubaldo Fillol,Ubaldo Fillol,Ubaldo Fillol
145,José de San Martín,Хасэ дэ Сан-Марцін,Хосе де Сан-Мартін,Хосе Сан-Мартин,Хосе де Сан Мартин,José de San Martín,José de San Martín,José de San Martín
146,Rutherford Hayes,Ратэрфорд Бэрчард Хейс,Резерфорд Гейз,Ратерфорд Хейс,Ръдърфорд Хейс,Rutherford Birchard Hayes,Rutherford B. Hayes,Rutherford B. Hayes
147,Noam Chomsky,Ноам Хомскі,Ноам Чомскі,Ноам Хомский,Ноам Чомски,Noam Chomsky,Noam Chomsky,Noam Chomsky
148,Geoff Hurst,Джэфры Херст,Джефф Герст,Джефф Херст,Джоф Хърст,Geoff Hurst,Geoff Hurst,Geoff Hurst
149,Thomas Häßler,Томас Геслер,Томас Гесслер,Томас Хесслер,Томас Хеслер,Thomas Häßler,Thomas Häßler,Thomas Häßler
150,Charles Francis Richter,Чарльз Рыхтэр,Чарльз Френсіс Ріхтер,Чарльз Рихтер,Чарлз Франсис Рихтер,Charles Francis Richter,Charles Richter,Charles Francis Richter
151,Bobby Charlton,Бобі Чарльтан,Боббі Чарлтон,Бобби Чарльтон,Боби Чарлтън,Bobby Charlton,Bobby Charlton,Bobby Charlton
152,Neville Chamberlain,Невіл Чэмберлен,Невілл Чемберлен,Невилл Чемберлен,Невил Чембърлейн,Neville Chamberlain,Neville Chamberlain,Neville Chamberlain
153,Winston Churchill,Уінстан Чэрчыль,Вінстон Черчилль,Уинстон Черчилль,Уинстън Чърчил,Winston Churchill,Winston Churchill,Winston Churchill
154,Arnold Schönberg,Арнольд Шонберг,Арнольд Шенберг,Арнольд Шёнберг,Арнолд Шьонберг,Arnold Schönberg,Arnold Schoenberg,Arnold Schoenberg
155,Edgar II Ætheling,Эдгар Этэлінг,Едгар Етелінг,Эдгар Этелинг,Едгар Етелинг,Edgar Ætheling,Edgar Ætheling,Edgar Ætheling
156,Edílson,Эдылсан да Сілва Ферэйра,Еділсон,Эдилсон Силва Феррейра,Едилсон,Edílson,Edílson,Edílson
157,Dwight Eisenhower,Дуайт Дэйвід Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower,Dwight D. Eisenhower
158,Clement Attlee,Клемент Этлі,Клемент Еттлі,Клемент Эттли,Клемент Атли,Clement Attlee,Clement Attlee,Clement Attlee
159,Jan III ,Ян III ,Іван III ,Иоанн III ,Йоан III ,Papež Janez III,Jan III,Jan III
160,Jan I ,Ян I ,Іван I ,Иоанн I ,Йоан I ,Papež Janez I,Jan I,John I
161,Jan XVII,Ян XVII ,Іван XVII,Иоанн XVII,Йоан XVII ,Papež Janez XVII,Jan XVII,Pope John XVII
162,Jan XXIII,Ян XXIII,Іван XXIII,Иоанн XXIII,Йоан XXIII,Papež Janez XXIII,Jan XXIII,Pope John XXIII
163,Jan Matejko,Ян Матэйка,Ян Матейко,Ян Матейко,Ян Матейко,Jan Matejko,Jan Matejko,Jan Matejko
164,Jan Paweł II,Ян Павел II,Іван Павло II,Иоанн Павел II,Йоан Павел II,Papež Janez Pavel II,Jan Pavel II,Pope John Paul II
165,Jan Paweł I,Ян Павел I,Іван Павло I,Иоанн Павел I,Йоан Павел I,Papež Janez Pavel I,Jan Pavel I,Pope John Paul I
166,Aleksander I ,Аляксандр I ,Олександр I ,Александр I ,Александър I ,Papež Aleksander I,Alexandr I,Alexander I
167,Hipparchos z Nikei,Гіпарх,Гіппарх,Гиппарх,Хипарх,Hiparh,Hipparchos,Hipparchus
168,Edwin Hubble,Эдвін Паўэл Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble,Edwin Hubble
169,Stanisław August Poniatowski,Станіслаў Аўгуст Панятоўскі,Станіслав-Август Понятовський,Станислав Август Понятовский,Станислав Август Понятовски,Stanislav II. Avgust Poniatowski,Stanislav II. August Poniatowski,Stanisław August Poniatowski
170,Stefan Batory,Стэфан Баторый,Стефан Баторій,Стефан Баторий,Стефан Батори,Štefan Báthory,Štěpán Báthory,Stephen Báthory
171,Zygmunt III Waza,Жыгімонт Ваза,Сигізмунд III Ваза,Сигизмунд III,Сигизмунд III Ваза,Sigismund III. Poljski,Zikmund III. Vasa,Sigismund III Vasa
172,Władysław IV Waza,Уладзіслаў Ваза,Владислав IV Ваза,Владислав IV,Владислав IV Ваза,Vladislav IV. Poljski,Vladislav IV. Vasa,Władysław IV Vasa
173,Władysław II Jagiełło,Ягайла,Владислав II Ягайло,Ягайло,Владислав II,Vladislav II. Poljski,Vladislav II. Jagello,Władysław II Jagiełło
174,Stanley Kubrick,Стэнлі Кубрык,Стенлі Кубрик,Стэнли Кубрик,Стенли Кубрик,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick
175,Mikalojus Konstantinas Čiurlionis,Мікалоюс Чурлёніс,Константінас Мікалоюс,Микалоюс Чюрлёнис,Микалоюс Чурльонис,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis
176,Mani,Мані,Мані ,Мани ,Мани,Mani,Mání,Mani
177,Yasunari Kawabata,Кавабата Ясунары,Кавабата Ясунарі,Ясунари Кавабата,Ясунари Кавабата,Jasunari Kavabata,Jasunari Kawabata,Yasunari Kawabata
178,Karl Haushofer,Карл Гаўсгофер,Карл Гаусгофер,Карл Хаусхофер,Карл Хаусхофер,Karl Haushofer,Karl Haushofer,Karl Haushofer
179,Wisława Szymborska,Віслава Шымборска,Віслава Шимборська,Вислава Шимборская,Вислава Шимборска,Wisława Szymborska,Wisława Szymborská,Wisława Szymborska
180,Irving Berlin,Ірвінг Берлін,Ірвінг Берлін,Ирвинг Берлин,Ървинг Бърлин,Irving Berlin,Irving Berlin,Irving Berlin
181,Oskar Schindler,Оскар Шындлер,Оскар Шиндлер,Оскар Шиндлер,Оскар Шиндлер,Oskar Schindler,Oskar Schindler,Oskar Schindler
182,Alaksandr Łukaszenka,Аляксандр Лукашэнка,Олександр Лукашенко,Александр Лукашенко,Александър Лукашенко,Aleksander Lukašenko,Alexandr Lukašenko,Alexander Lukashenko
183,Tyberiusz,Тыберый,Тиберій,Тиберий,Тиберий,Tiberij,Tiberius,Tiberius
