,entity,gender
230,Ранальд,m
231,Конрад III,m
232,Раймонд I де Бо,m
233,Помпоний Лет,m
234,Мадог ап Маредид,m
235,Зинаида Тарсийская,f
236,Ирменгарда Турская,m
237,Оуайн Лаугох ап Томас,m
238,Билигту-хан,m
239,Баалезор I,m
240,Поликсен Эпифан Сотер,m
241,Карл Калабрийский,m
242,Альфонсо VIII,m
243,Жорди де Сан-Жорди,m
244,Талорк II,m
245,Баризоне II,m
246,Всеслав Изяславич,m
247,Мухали,m
248,Мухаммад аль-Бухари,m
249,Эрих I,m
250,Иоганн I,m
251,Михаил Дука,m
252,Рудольф I,m
253,Уильям I де Бошан из Элмли,m
254,Аделаида Брабантская,f
255,Луций Элий Цезарь,m
256,Гильом Анжуйский,m
257,Ральф Бассет,m
258,Элипанд,m
259,Анри де Марси,m
260,Касим ибн Мухаммад ибн Абу Бакр,m
261,Фёдор Михайлович Старший Вишневецкий,m
262,Марк Коминий Секунд,m
263,Рено де Монс,m
264,Готфрид Бульонский,m
265,1-й граф Эссекс Джеффри Фиц-Питер,m
266,Роберт д’Алансон,m
267,Праксилла,f
268,Пиран Корнуолльский,m
269,Ли Гунлинь,m
270,Александр,m
271,Николай Верденский,m
272,Ямуначарья,m
273,Авл Касцеллий,m
274,Жанна Константинопольская,f
275,Гинце Птачек из Пиркштейна,m
276,Альбрехт III,m
277,Елизавета Ярославна,f
278,Проэресий,m
279,Серен Антинойский,m
280,Фтия Эпирская,m
281,Мания,f
282,Чекко ди Пьетро,m
283,Гай Фабий Пиктор,m
284,Ан-Насир Лидиниллах,m
285,Тит Квинкций Криспин,m
286,Беатриса Английская,f
287,Арехис II,m
288,Джигтен Сумгон,m
289,Флавий Президий,m
290,Книва,m
291,Патиент Лионский,m
292,Бланка Анжуйская,f
293,Император Го-Хорикава,m
294,Жак Луи Рандон,m
295,Иоанн II,m
296,Эльсвита,f
297,Одо,m
298,Оттон Санкт-Блазиенский,m
299,Гней Сентий Сатурнин Ветулон,m
300,Юдифь Бретонская,m
301,Елизавета Вудвилл,f
302,Джованни ди Биччи Медичи,m
303,Лю Юй,m
304,Ваньянь Дигунай,m
305,Флаккифей,m
306,Идрис II,m
307,Артаферн I,m
308,Магнус Оркнейский,m
309,Жан-Гийом де Бомон,m
310,Диана Феррети,f
311,Дунхад I,m
312,Квинт Марций Рекс,m
313,Лелиан,m
314,Абу Табит,m
315,Машаллах ибн Асари,m
316,Мария де Бриенн,m
317,Шахин Вахманзадеган,m
318,Лангар,m
319,Дамаский,m
320,Магн из Ананьи,m
321,Гида Эйриксдоттир,f
322,Аль-Махди Ахмад,m
323,Эдуард Норфолкский,m
324,Эннин,m
325,Катал Карраг Уа Конхобайр,m
326,Амон,m
327,Юлия Флавия,f
328,Ибн Халликан,m
329,Эремберт,m
330,Абу Али аль-Джуббаи,m
331,Меностан,m
332,Ольга,f
333,Хью Бардольф,m
334,Павле Бранович,m
335,Герман Турнейский,m
336,Василий Михайлович,m
337,Альфонс I Иордан,m
338,Фридрих I,m
339,Обри I де Макон,m
340,Сократ Схоластик,m
341,Аэроп I,m
342,Калликрат,m
343,Хайле Селассие,m
344,Пётр Захвалынский,m
345,Арнольд Гальденский,m
346,Лонгин Печерский,m
347,Святой Христофор,m
348,Геза,m
349,Вениамин,m
350,Маргарита д’Эгль,f
351,Абу Зура ар-Рази,m
352,Публий Вентидий Басс,m
353,Одетта де Шамдивер,m
354,Абу-ль-Хасан аль-Ашари,m
355,Роман де Пюи,m
356,Разия-султан,f
357,Полиэн из Лампсака,m
358,Пьетро Корсини,m
359,Уильям Фиц-Алан II,m
360,Альберто да Джуссано,m
361,Эльвира Рамирес,f
362,Абелла,f
363,Квинт Марций Рекс,m
364,Антонио II дель Карретто,m
365,Умберто I,m
366,Аблабий,m
367,Антенорео Обелерио,m
368,Иоганн I,m
369,Луцилий Младший,m
370,Бенедетто I Дзаккариа,m
371,Эдгар Этелинг,m
372,Жан I,m
373,Вольфганг Регенсбургский,m
374,Никифор Комнин,m
375,Марий,m
376,Альфред Этелинг,m
377,Фань Ли,m
378,Гуго Клюнийский,m
379,Флавий Аэций,m
380,Жан II де Монморанси,m
381,Мельхиор Брудерлам,m
382,Энгельберт фон Берг,m
383,Вильям Йоркский,m
384,Уильям де Рос,m
385,Отакар IV,m
386,Ганнон Великий,m
387,Эйнион ап Мор,m
388,Колумба из Санса,f
389,Салимбене Пармский,m
390,Мелисенда де Сен-Жиль,f
391,Уильям Бонвилл,m
392,Бернардо Бембо,m
393,Стефан II,m
394,Хишам I,m
395,Томас Лермонт,m
396,Геракл,m
397,Иоанэ Петрици,m
398,Абдул-Латиф ибн Юсуф аль-Багдади,m
399,Николай из Флюэ,m
400,Жан VI,m
401,Уто I,m
402,Святая Изабелла Португальская,f
403,Губару,m
404,Анунд Уппсальский,m
405,Гримоальд Младший,m
406,Катерина Бранкович,m
407,Людовик III Анжуйский,m
408,Генрик Андреас Каменецкий,m
409,Пьетро Папарески,m
410,Пьер Герлофс Дониа,m
411,Страхквас,m
412,Барним VII,m
413,Глеб Василькович,m
414,Иоанн Киннам,m
415,Лисандр,m
416,Генрих I,m
417,Пипин I де Вермандуа,m
418,Владислав Цешинский,m
419,Амир аш-Шааби,m
420,Миклош Толди,m
421,Квинт Антистий Адвент Постумий Аквилин,m
422,Амадей Савойский-Аостский,m
423,Виола Цешинская,f
424,Дик,m
425,Фульк дю Мерль,m
426,Амброзио Калепино,m
427,Гормлет инген Мурхада,m
428,Джованни Аурелио Аугурелли,m
429,Арва бинт Ахмад,f
430,Гавиний Римский,m
431,Коничи,m
432,Павел Жидек,m
433,Фьоренца I Санудо,m
434,Кастор Карденский,m
435,Михаил Критовул,m
436,Публий Альфен Вар,m
437,Бань Гу,m
438,Теодор Монферратский,m
439,Маргарита Кортонская,f
440,Кристина Датская,f
441,Тиберий Гатерий Сатурнин,m
442,Педру I,m
443,Бесс,m
444,Ульрих I,m
445,Питер Лэнгтофт,m
446,Тогон-Тэмур,m
447,Клеомен II,m
448,Дзоригту-хан,m
449,Кердик,m
450,Баян,m
451,Кауполикан,m
452,Се Лянцзо,m
453,Гай Юний Донат,m
454,Аббад I,m
455,Добрава Юрьевна,m
456,Властимир,m
457,Су Ши,m
458,Стефан III,m
459,Джон,m
460,Святая Сильвия,m
461,Чхунхе,m
462,Гийом Барден,m
463,Домиция Лепида Старшая,f
464,Александр Карагеоргиевич,m
465,Пандольфо I Малатеста,m
466,Пердикка,m
467,Йиржи из Подебрад,m
468,Антоний Цецина Сабин,m
469,Фруэла II,m
470,Сацердос Лиможский,m
471,Гислаберт II,m
472,Пётр,m
473,Братья Карвахаль,m
474,Лаиса,m
475,Амори V де Монфор,m
476,Леонид Тарентский,m
477,Никифор III Вотаниат,m
478,Маргарита Бургундская,f
479,Неннока,m
480,Екатерина Португальская,f
481,Рудольф I,m
482,Али ан-Насир,m
483,Тит Калестрий Тирон Орбий Сперат,m
484,Галеаццо Мария Сфорца,m
485,Астрюк га-Леви,m
486,Корсон,m
487,Ноуи ап Гуриад,m
488,Бенедетто Бембо,m
489,Гай Лициний Кальв Столон,f
490,Ламберт,m
491,Феодора Кантакузина,f
492,Карло I Малатеста,m
493,Ян Вилимек,m
494,Эберхард I фон Габсбург,m
495,Хакон Воспитанник Торира,m
496,Митридат Пергамский,m
497,У-ди,m
498,Иоанн I Лемигий,m
499,Прокл Веронский,m
500,Эккехард из Ауры,m
501,Эдред,m
502,Бартоломео Коллеони,m
503,Гаделин,m
504,Авл Сабин,m
505,Армандо Диас,m
506,Каллипп,m
507,Генрих фон Тунна,m
508,Иоанн Руф,m
509,Луций Аврелий Котта,m
510,Феодора Анна Дукиня Сельво,f
511,Раймунд Луллий,m
512,Ибн Абд аль-Барр,m
513,Геродот,m
514,Герман II,m
515,Спевсипп,m
516,Морис Фицджеральд,m
517,5-й лорд-стюард Шотландии Джеймс Стюарт,m
518,Тит Флавий Саллюстий Пелигниан,m
519,Марко Санудо,m
520,Шарольт,f
521,Эстрид Датская,m
