,entity,gender
215,Jan Brueghel,m
216,Irena Dukaina,m
217,Krescencjusz z Jesi,m
218,Giovanni II Crispo,m
219,Sobiesław I czeski,m
220,Maria Elżbieta Wittelsbach,m
221,Michiel Sweerts,m
222,Mikołaj Radziwiłł Rudy,m
223,Adelajda Miśnieńska,f
224,Jules Hardouin-Mansart,m
225,Adrian z Canterbury,m
226,Fintan z Rheinau,m
227,Jabalaha III,m
228,Hieronim Rozdrażewski,m
229,Alfons IV d’Este,m
230,Domnika,m
231,Jorge Manrique,m
232,Babak,m
233,Kōkō,m
234,Nicolaus Olahus,f
235,Leoncjusz z Neapolis,m
236,Labid Ibn Rabi’a,m
237,Otton Orseolo,m
238,Francesco Abbondio Castiglioni,m
239,Sulchan Saba Orbeliani,m
240,Ernest II Szwabski,m
241,Leon V,m
242,Samuel Dunikowski,m
243,Publiusz Krassus,m
244,Elena Cornaro Piscopia,m
245,Kelsos i Marcjanilla,m
246,Andrzej Bogurski,m
247,Eufemiusz,m
248,Amerigo Vespucci,m
249,Tyberiusz,m
250,Hugo du Perche,m
251,Andrzej Stadnicki,m
252,Ruppert Wittelsbach,m
253,Antonio Pigafetta,m
254,Polikarp ze Smyrny,m
255,Peregrine Osborne,m
256,Paweł Stefan Sapieha,m
257,Beniamino Gally,m
258,Jan IX,m
259,Hongxi,m
260,Imagina von Isenburg-Limburg,f
261,Beatrice Cenci,m
262,Abd al-Mumin,m
263,Jan ścinawski,m
264,Antoni Supraski,m
265,Agnieszka z Lichtenburka,f
266,Kakinomoto no Hitomaro,m
267,Lech,m
268,Angelina Marsciano,f
269,Mateusz Jan Judycki,m
270,Zofia,m
271,Basawan,m
272,Jan Aleksander Gorczyn,m
273,Eliasz II,m
274,Romulus,m
275,Filip III,m
276,Stefania Quinzani,f
277,Andrzej Conti,m
278,Teodor Aleksander Lacki,m
279,Isma’il I,m
280,Edward III,m
281,Magdalena Wittelsbach,m
282,Notker Balbulus,m
283,Thông Biện,m
284,Sybilla z Normandii,f
285,Wilhelm III Dziecię,m
286,Karol de Mayenne,m
287,Benedetto Pamphili,m
288,Wolrad II,m
289,Henryk Fleming,m
290,Marcin Kretzmer,m
291,Notker Labeo,m
292,Antoni Juściński,m
293,Paweł I,m
294,Ahmed I,m
295,Johann Chrysostom Neborak,m
296,Ziemomysł inowrocławski,m
297,Saloniusz z Genewy,m
298,Giovanni Buonconsiglio,m
299,Wigiliusz z Trydentu,m
300,Almos,m
301,Godfryd I Bretoński,m
302,Józef z Nazaretu,m
303,Tomasz z Margi,m
304,Elżbieta Blount,f
305,Francesco Nerli,m
306,Maffeo Barberini,m
307,Kunegunda Halicka,f
308,Bernard Grünhaut,m
309,Ordoño Alvares,m
310,Osbert z Nortumbrii,m
311,Konstancja Kastylijska,f
312,Otton Sabaudzki,m
313,Stanisław Żółkiewski,m
314,Antoni Primaldo,m
315,Alan I Wielki,m
316,Jerzy Paleolog,m
317,Barnaba da Modena,m
318,Gordian II,m
319,Willebrord Snell,m
320,Jan I de Bourbon-La Marche,m
321,Sebastian Vrancx,m
322,Giovanni di San Paolo,m
323,Abbo z Fleury,m
324,Michał Korybut Wiśniowiecki,m
325,Gilbert de Clare,m
326,Abdullah al-Adil,m
327,Rangdziung Dordże,m
328,Hieronim Rozdrażewski,m
329,Sędziwoj z Czechła,m
330,Rene II Lotaryński,m
331,Jan Hus,m
332,Alpinus,m
333,Albrecht II,m
334,Andrzej Szołdrski,m
335,Eryk XI Eriksson,m
336,Judith Leyster,m
337,Korneliusz Nepos,m
338,Sigismondo d’India,m
339,Henryk I,m
340,Simone da Sterpeto,m
341,Niklaus Manuel,m
342,Oliver Cromwell,m
343,Diego de Covarrubias y Leyva,m
344,William Dunbar,m
345,Torsten Stålhandske,m
346,Jan II Kapadocki,m
347,Aleksander Zborowski,m
348,Rosso Fiorentino,m
349,Eudoksja Laskarina,m
350,Martin Frobisher,m
351,Ram Das,m
352,Garcia II,m
353,Mehmed,m
354,Oliviero Carafa,m
355,Sixin Wuxin,m
356,Eufemia kujawska,f
357,Catherine Nyamko,m
358,Wilhelm z Polski,m
359,Sima Tan,m
360,Just z Canterbury,m
361,Roman,m
362,Jakub II de Bourbon-La Marche,m
363,Antonio del Giudica,m
364,Wasylko Rościsławicz,m
365,Bagoas,m
366,Giambattista Altieri,m
367,Eormenric,m
368,Adam z Będkowa,m
369,Maria Branković,m
370,Paweł Szydłowiecki,m
371,Franciszek Suárez,m
372,Krystyna Wazówna,f
373,Audoen z Rouen,m
374,Robert de Cotte,m
375,Aretas z Cezarei Kapadockiej,m
376,Jan I żagański,m
377,Guerech,m
378,Kleopatra VI Tryfajna III,m
379,Ernest I Pobożny,m
380,Gudō Tōshoku,m
381,Henri Allard,m
382,Arjabhata,m
383,Goswin Nickel,m
384,Andrzej Gościejewicz,m
385,Michalina z Pesaro,f
386,Konrad VIII Młody,m
387,Ventura Salimbeni,m
388,Scipione del Ferro,m
389,Jean Garnier,m
390,Ellen Marsvin,m
391,Jerzy z Mityleny,m
392,Gian Pietro Bellori,m
393,Stefan Moroz,m
394,Giovanni Serodine,m
395,Pieter Snayers,m
396,Cyd,m
397,Gerhard Hendrik,m
398,Jerzy I,m
399,Dōgen,m
400,Juliusz,m
401,Abraham Ihle,m
402,Gevherhan,m
403,Petronela z Troyes,m
404,Fryderyk IV,m
405,Mikołaj Schieffenburg,m
406,Pierre Varignon,m
407,Franciszek Meninski,m
408,Andrzej z Jaszowic,m
409,Go-Kameyama,m
410,Joanna Scopelli,f
411,Władimir Ptuszkin,m
412,Henry Percy,m
413,Haakon Eiriksson,m
414,Henryk II,m
415,Zeger van Espen,m
416,Odon III z Szampanii,m
417,Dymitr Iwanowicz,m
418,Nikita,m
419,Wilhelm Fabricius,m
420,Eutropiusz,m
421,Gunter z Dobrowody,m
422,Lucyliusz,m
423,Leon Styppes,m
424,Bazyli Komnen Młodszy,m
425,Kazimierz,m
426,Marsyliusz z Inghen,m
427,Stanisław Starczewski,m
428,Giovanni Girolamo Lomellini,m
429,Adriaen van de Velde,m
430,Hugh Jones,m
431,Karol Robert,m
432,Andrzej Krzycki,m
433,Ethelred I,m
434,Karol III z Durazzo,m
435,Mattia Preti,m
436,Agnese Visconti,m
437,Giacomo Serra,m
438,Ole Worm,m
439,Nizami,m
440,Angelo Acciaiuoli,m
441,Ludovico Madruzzo,m
442,Sethus Calvisius,m
443,Hildegarda z Bingen,f
444,Radič Božić,m
445,James of Saint George,m
446,Menedemos z Eretrii,m
447,Fryderyk I,m
448,Wierzchosława Bolesławówna,m
449,Khuông Việt,m
450,Renald I,m
451,Jules Fehr,m
452,Pedro de Villagómez Vivanco,m
453,Ælgifu,m
454,Jan van Kessel,m
455,Jan,m
456,Adam Borek,m
457,Fryderyk cieszyński,m
458,Augustyn Mieleski-Rotundus,m
459,Juliana van Stolberg,m
460,Han Xuandi,m
461,Arystoksenos,m
462,Han Zhidi,m
463,Serafina Sforza,m
464,Karl Hannibal von Dohna,m
465,Elizabeth de Clare,m
466,Duris,m
467,Mikael Agricola,m
468,Manuel Erotikos Komnen,m
469,René de Saunière de l’Hermitage,m
470,Ptolemeusz VII Neos Filopator,m
471,Jakob Arcadelt,m
472,Lucjusz Kalpurniusz Pizon Frugi Licynianus,m
473,Michel Colombe,m
474,Ryszard Leżański,m
475,Wład Palownik,m
476,Al-Mutawakkil,m
477,Tyron,m
478,Giovanni Battista Soria,m
479,André Beauneveu,m
480,Ansai Yamazaki,m
