,entity,gender
207,Praskovja Fjodorovna Saltykovová,f
208,Balthasar Denner,m
209,Hidejori Tojotomi,m
210,Frans Post,m
211,Kazimír II. Spravedlivý,m
212,Charles Léon,m
213,Óri Umesaka,m
214,John Stuart,m
215,Pieter Anthonisz. van Groenewegen,m
216,Roger Lotrinský,m
217,Michal de Causis,m
218,Germanicus,m
219,Moritz Illek,m
220,Josef Müller,m
221,Lorenzo Costa,m
222,Akátius,m
223,William Crotch,m
224,Hans Böhm,m
225,Kateřina Navarrská,f
226,Godomar II.,m
227,Abi-Ešu,m
228,Alžběta Kristýna Brunšvicko-Wolfenbüttelská,f
229,Matthias Jacob Schleiden,m
230,Theuderich IV.,m
231,Rudolf Pszczolka,m
232,Michael Antonín z Althannu,f
233,Hidejoši Tojotomi,m
234,Kazimír IV. Jagellonský,m
235,Knut I. Švédský,m
236,Jacques Nicolas Billaud-Varenne,m
237,François Bernier,m
238,Šehzade Ömer,m
239,Svatá Oda,f
240,Maximilián Norbert Krakowský z Kolowrat,m
241,Louis-Antoine de Pardaillan de Gondrin,m
242,Anežka Anhaltsko-Desavská,f
243,Prokop Diviš,m
244,Marie z Berry,f
245,Jindřich VI. Lucemburský,m
246,Anna Falcká,f
247,Michael Slovis,m
248,Johann Heinrich Schmelzer,m
249,Gertruda Meranská,f
250,Fridrich II. Braniborský,m
251,Kašpar Předák,m
252,Garcia Jofre de Loaisa,m
253,Andrea Basili,m
254,Božena Vrbatová-Krajčová,f
255,Édouard Alletz,m
256,Jules de Polignac,m
257,Zikmund Púchovský ze Lví Hory,m
258,Karel I. Brunšvicko-Wolfenbüttelský,m
259,Martín Alonso Pinzón,m
260,Judita Bretaňská,f
261,Britannicus,m
262,Raphael Lemkin,m
263,Sia Kuej,m
264,Bartoloměj ze Znojma,m
265,Valerius Obletter,m
266,Theodora Hatun,f
267,Kristina Norská,f
268,Jindřich František Mansfeld,m
269,Jan Fridrich Württemberský,m
270,Manuel García,m
271,Mořic Oranžský,m
272,William Domett,f
273,Cornelis de Houtman,m
274,Jang Šen,m
275,Jan IV. Roth,m
276,Karel Kohout,m
277,Jánoš Korvín,m
278,Alfons IV. Aragonský,m
279,Štěpán z Pernštejna a Medlova,m
280,Leopold II. Sedlnický,m
281,Martin Štěpán,f
282,Margarita de Cardona,f
283,Ranavalona I.,f
284,Marie Karolína Habsbursko-Lotrinská,f
285,Brita Sofia Hesselius,f
286,Blanka z Valois,f
287,"Trofimus, Sabbatius a Dorymedon",m
288,Józei,m
289,Luisa Amálie Brunšvicko-Wolfenbüttelská,f
290,Robert z Courtenay,m
291,Athaulf,m
292,Alfons Jordan z Toulouse,m
293,Ludmilla Elisabeth von Schwarzburg-Rudolstadt,f
294,Jan Rosůlek,m
295,Mikuláš Kryštof Radziwiłł,m
296,John Langhorne,m
297,Bohumír Bylanský,m
298,Šime Starčević,m
299,Luigi Antonio Calegari,m
300,Eugen Václav Bruntálský z Vrbna,m
301,Fatma Sultan,f
302,Herkules Maxmilián Sforza,m
303,Joseph Gergonne,m
304,Marie Tereza Habsburská,f
305,Zacharias Starck,m
306,Jean-Victor Moreau,m
307,Jeroným,m
308,Dermot z Inis Clothrann,m
309,Václav Vavřinec Reiner,f
310,Joseph Liouville,m
311,Filibert I. Savojský,m
312,Umar ibn al-Chattáb,m
313,Jan mladší Skrbenský z Hříště,m
314,Jan Rudolf Czernin z Chudenic,f
315,Zoltán Farkas,m
316,Alice z Warenne,f
317,Ingeborg Dánská,f
318,Mikuláš Mercoeurský,m
319,Harald II. Norský,m
320,Jindřich II. Šlik,m
321,Narcisse Virgilio Díaz,m
322,Boots,m
323,Jan Jiří III. Saský,m
324,Georg Bachmann,m
325,Otmar Daniel Zinke,m
326,Wilhelm von Humboldt,m
327,Honoré de Balzac,m
328,Peter August Friedrich von Manteuffel,m
329,Viktor z Aveyronu,m
330,Štěpán Dušan,m
331,Johannes Sambucus,m
332,Averroes,m
333,Joe Plummer,m
334,Alexandr z Chrudimi,m
335,Leo Löwenthal,m
336,Jan Francouzský,m
337,Vŭlko Červenkov,m
338,Petra Bryant,f
339,Slavomír,m
340,Gerard van Honthorst,m
341,Cassius Chaerea,m
342,Filip z Artois,m
343,Václav Berger z Bergenthalu,m
344,Giovanni Paolo Campana,m
345,Inés de Castro,f
346,Theodemer,m
347,Eufrosina Polocká,f
