,entity,gender
226,Володимир Дідула,m
227,Євген Гопко,m
228,Олександр Іванюхін,m
229,Іван Капустей,m
230,Олег Зубарєв,m
231,Октавія Новацька,m
232,Павло Флоренський,m
233,Радослав Матусяк,m
234,Сергій Костинський,m
235,Владлен Одуденко,m
236,Вадим Гонщик,m
237,Ембер Бенсон,f
238,Василь Верещагін,m
239,Блистів Олександр,m
240,Людмила Гриневич,f
241,Лариса Недін,f
242,Борха Сайнс,m
243,Оксана Лісовська,f
244,Дмитро Стратан,m
245,III Іван,m
246,Фернан Пелец,m
247,Яр Славутич,m
248,Феодосій Провізіон,m
249,Приті Зінта,f
250,Ізабелла Міко,f
251,Хон Чон Хьон,m
252,Волков Сергій Олександрович,m
253,Володимир Потапов,m
254,Уго Гільямон,m
255,Деме Стояї,m
256,Сергій Бакун,m
257,Юрица Вранєш,m
258,Мирослав Вовк,m
259,Алла Лазарєва,f
260,Себастьян Штосс,m
261,Фернандо Кампос,m
262,Сергій Кузьменко,m
263,Микола Данченко,m
264,Йосип Трахтенберг,m
265,Імре Ревес,m
266,Валентин Рибалка,m
267,Ольга Муравейникова,f
268,Уляна Мостіпан,f
269,Вільгельм Лобковіц,m
270,Балко Степан,m
271,Сальваторе Джюнте,m
272,Даме Груєв,m
273,Іван Денькович,m
274,Віктор Куліков,m
275,Ігор Терехов,m
276,Іван Кравчук,m
277,Микола Артюх,m
278,Генріетта Пека,f
279,Регімантас Адомайтіс,m
280,Деніс Суарес,m
281,Тетяна Позняк,f
282,Рудольф Йоганн фон Габсбург-Лотаринзький,m
283,Черненко Василь Іванович,m
284,Олів'є Боссе,m
285,Кароль Ян,m
286,Аксель Вітсель,m
287,Василь Самусь,m
288,Іван Бандурка,m
289,Красімір Неделчев Мінчев,m
290,Микола Автухович,m
291,Хараламбос Папаіоанну,m
292,Сергій Пестерьєв,m
293,Роман Бочак,m
294,Геза Даруварі,m
295,Сильвестр Покко,m
296,Сарусава Сіґеру,m
297,Дмитро Андрієвський,m
298,Муціо Клементі,m
299,Болюх Василь,m
300,Оганес Даніелян,m
301,Роберт Швегла,m
302,Павло Зельницький,m
303,Ігор Пелих,m
304,Євген Проданов,m
305,Конні Гілкріст,f
306,Єва-Лотта Кійбус,m
307,Іван Смирнов,m
308,Дієго Агірре,m
309,Мирослав Онишкевич,m
310,Арканджело Пеццелла,m
311,Яя Саного,m
312,Сергій Коряжкін,m
313,Юрій Мамаєв,m
314,Григорій Кияк,m
315,Володимир Сідоров,m
316,Іван Воронов,m
317,Муслім Гаджімагомедов,m
318,Пет Макріві,m
319,Кость Дяченко,m
320,Анатолій Брезвін,m
321,Ігор Нетто,m
322,Карен Мовсісян,m
323,Лассіна Траоре,m
324,Садако Сасакі,m
325,Василь Хоменко,m
326,Судзукі Дзенко,m
327,Габріель Корреа,m
328,Рене Баржавель,m
329,Недільський Софрон,m
330,Шон Керлі,m
331,Плініу Салгаду,m
332,Алекс Тейшейра,m
333,Себастьяно Конка,m
334,Танєєв Олександр Сергійович,m
335,Юрій Лапчинський,m
336,Сергій Шиповський,m
337,Девон Морріс,m
338,Сипрієн Рішар,m
339,Юрій Новак,m
340,Мате Юрій Ілліч,m
341,Олександр Високий,m
342,Ная Рівера,f
343,Юлія Дьоміна,f
344,Ольга Романовська,f
345,Мелроуз Бейо Кай-Банья,m
346,Даніель Оскар Егбуджуо,m
347,Віталій Толмачов,m
348,Микола Бистрих,m
349,Джанго,f
350,Володимир Войтенко,m
351,Генрі Геймліх,m
352,Янніс Салібур,m
353,Етторе Спалетті,m
354,Микола Фоміних,m
355,Божена Бонк,m
356,Райнер Ольгаузер,m
357,Михайло Омеляновський,m
358,Зігфрід Расп,m
359,Марія Прусська,f
360,Віктор Чумак,m
361,Якоб Фелікс,m
362,Волтер Дональдсон,m
363,Степан Андрущишин,m
364,Сінгалевич Володимир,m
365,Володимир Старков,m
366,Сергій Політило,m
367,Ото Гашчак,m
368,Юркі Вайнонен,m
369,Олександр Кузнецов,m
370,В'ячеслав Приходько,m
371,Клавдія Августа,f
372,Анна Голубкіна,f
373,Сергій Ручківський,m
374,Бенедетта Пілато,m
375,Василь Струк,m
376,Олександр Косенко,m
377,Денніс Вітлі,m
378,Юрій Горожанкін,m
379,Штефан Бербояну,m
380,Ервін Ванденберг,m
381,В'ячеслав Добринін,m
382,Дмитро Різник,m
383,Віктор Гуменюк,m
384,Джоржетт Мосбахер,m
385,Роберто Перейра,m
386,Жорді Масіп,m
387,Євгенія Горева,f
388,Тео Бусьєр,m
389,Хміль Олександр,m
390,Андрій Конєв,m
391,Володимир Шевчук,m
392,Лідія Крепостняк,f
393,Майкл Стівенс,m
394,Данута Козак,m
395,Іоан,m
396,Лоренц Функ молодший,m
397,Юстініан,m
398,Єлизавета Августа Зульцбахська,m
399,Гваріно Гваріні,m
400,Паскаль Нума,m
401,Трюгве Гран,m
402,Ярослав Стецько,m
403,Роман Шишкін,m
404,Олександр Кірілов,m
405,Бенедикт XIII,m
406,Леонід Жаботинський,m
407,Аркадій Хоралов,m
408,Петро Панков,m
409,Павло Ліпранді,m
410,Джейн Мак-Грегор,f
411,Ян Оплетал,m
412,Костянтин-Вадим Ігнатов,m
413,В'ячеслав Сокол,m
414,Владислав Ковальов,m
415,Павло Розлач,m
416,Валерій Прусс,m
417,Валентина Молинь,f
418,Мікамі Сьоко,f
419,Мартін Реваї,m
420,Крістоффер Гаральдсейд,m
421,Ґеорґе Анґелеску,m
422,Андрій Галущенко,m
423,Антоніу Фрашку,m
424,Людвіг Лахман,m
425,Федір Абрамов,m
426,Лі Чан Мін,m
427,Ксав'є Самен,m
428,Людольф фон Услар,m
429,Федевич Іван,m
430,Олександр Круподер,m
431,Юрій Ярусевич,m
432,Ян Баптиста ван Гельмонт,m
433,Владислав Дацюк,m
434,Федір Непоменко,m
435,Василь Яворський,m
436,Франтішек Ступка,m
437,Василь Лизанчук,m
438,Паоло Конте,m
439,Естер Асебо,f
440,Казимир Делямар,m
441,Каріна Бер,m
442,Патриція Вичишкевич,m
443,Олександра Лопушанська,f
444,Соколюк Остап,m
445,Хасебе Макото,m
446,Бенедикт Лівшиць,m
447,Тананарів Дю,f
448,Ірина Потоцька,f
449,Свен Шмід,m
450,Томас де Мезьєр,m
451,Уляна Мельникова,f
452,Петро Карась,m
453,Раїса Бєляєва,f
454,Константин Вішояну,m
455,Юрій Шайгородський,m
456,Юрій Красношапка,m
457,Ріхард Адьєй,m
458,Лі Хуаньчжі,m
459,Педро Абад Сантос,m
460,Валерій Демченко,m
461,Наталія Кухар-Онишко,f
462,Євген Дементьєв,m
463,Данило Кононенко,m
464,Брендан Фостер,m
465,Ігор Нешко,m
466,Людмила Татьянчук,f
467,Галина Вантух,f
468,Ольга Таратута,f
469,Пап Гує,m
470,Ікечукву Уче,m
471,Гекхан Аккан,m
472,Медлін Меннінг,m
473,Єжи Плеснярович,m
474,Пауль Керес,m
475,Бонавантюр Калу,m
476,Вейн Раутледж,m
477,Ірина Єгорова,f
478,Вадим Гетьман,m
479,Леонід Крючков,m
